Group of Letters		Frequency		%
LECAP		1		0.00
LECAPH		1		0.00
LECAS		1		0.00
LECAST		1		0.00
LECH		11		0.00
LECHA		7		0.00
LECHAD		1		0.00
LECHAF		1		0.00
LECHAN		1		0.00
LECHAR		1		0.00
LECHAS		3		0.00
LECHM		1		0.00
LECHMA		1		0.00
LECHO		2		0.00
LECHON		1		0.00
LECHOS		1		0.00
LECL		1		0.00
LECLA		1		0.00
LECLAD		1		0.00
LECO		5		0.00
LECON		1		0.00
LECONZ		1		0.00
LECOR		3		0.00
LECORG		2		0.00
LECORN		1		0.00
LECOS		1		0.00
LECOST		1		0.00
LED		39		0.00
LEDA		5		0.00
LEDAC		1		0.00
LEDACH		1		0.00
LEDAM		1		0.00
LEDAMN		1		0.00
LEDAN		1		0.00
LEDANZ		1		0.00
LEDAX		1		0.00
LEDAXO		1		0.00
LEDB		1		0.00
LEDBA		1		0.00
LEDBAR		1		0.00
LEDC		1		0.00
LEDCO		1		0.00
LEDCOR		1		0.00
LEDE		1		0.00
LEDEG		1		0.00
LEDEGO		1		0.00
LEDG		5		0.00
LEDGA		2		0.00
LEDGAR		1		0.00
LEDGAX		1		0.00
LEDGE		1		0.00
LEDGER		1		0.00
LEDGR		2		0.00
LEDGRA		1		0.00
LEDGRO		1		0.00
LEDN		9		0.00
LEDNA		6		0.00
LEDNAC		1		0.00
LEDNAG		1		0.00
LEDNAP		2		0.00
LEDNAR		1		0.00
LEDNAV		1		0.00
LEDNO		3		0.00
LEDNOD		1		0.00
LEDNOG		1		0.00
LEDNOP		1		0.00
LEDO		10		0.00
LEDOH		1		0.00
LEDOL		1		0.00
LEDOLC		1		0.00
LEDON		2		0.00
LEDONA		2		0.00
LEDOR		1		0.00
LEDORD		1		0.00
LEDOT		1		0.00
LEDOTH		1		0.00
LEDOTHNAR		1		0.00
LEDOX		4		0.00
LEDOXA		3		0.00
LEDOXM		1		0.00
LEDV		2		0.00
LEDVA		1		0.00
LEDVAR		1		0.00
LEDVN		1		0.00
LEDVNA		1		0.00
LEDZ		1		0.00
LEDZA		1		0.00
LEDZAD		1		0.00
LEF		6		0.00
LEFA		1		0.00
LEFE		2		0.00
LEFF		1		0.00
LEFFA		1		0.00
LEFFAH		1		0.00
LEFO		1		0.00
LEFON		1		0.00
LEFONZ		1		0.00
LEFV		1		0.00
LEFVO		1		0.00
LEFVOS		1		0.00
LEG		21		0.00
LEGA		7		0.00
LEGAM		1		0.00
LEGAMP		1		0.00
LEGAN		1		0.00
LEGANZ		1		0.00
LEGAR		1		0.00
LEGAT		4		0.00
LEGATH		4		0.00
LEGE		4		0.00
LEGEC		1		0.00
LEGECO		1		0.00
LEGED		2		0.00
LEGEDN		2		0.00
LEGEV		1		0.00
LEGEVR		1		0.00
LEGG		1		0.00
LEGGA		1		0.00
LEGGAD		1		0.00
LEGH		2		0.00
LEGHA		1		0.00
LEGHAX		1		0.00
LEGHO		1		0.00
LEGHOR		1		0.00
LEGO		7		0.00
LEGOD		2		0.00
LEGODN		1		0.00
LEGODO		1		0.00
LEGON		1		0.00
LEGONT		1		0.00
LEGOR		2		0.00
LEGORA		1		0.00
LEGORG		1		0.00
LEGOT		1		0.00
LEGOTH		1		0.00
LEH		21		0.00
LEHA		5		0.00
LEHAC		3		0.00
LEHACH		2		0.00
LEHACL		1		0.00
LEHAR		1		0.00
LEHARD		1		0.00
LEHAS		1		0.00
LEHASC		1		0.00
LEHD		1		0.00
LEHDO		1		0.00
LEHDON		1		0.00
LEHE		1		0.00
LEHEN		1		0.00
LEHENZ		1		0.00
LEHG		2		0.00
LEHGA		2		0.00
LEHGAL		1		0.00
LEHGAN		1		0.00
LEHN		2		0.00
LEHNA		2		0.00
LEHNAB		2		0.00
LEHO		2		0.00
LEHOR		1		0.00
LEHORG		1		0.00
LEHOX		1		0.00
LEHV		1		0.00
LEHVO		1		0.00
LEHVON		1		0.00
LEHY		1		0.00
LEHYA		1		0.00
LEHYAM		1		0.00
LEL		4		0.00
LELB		2		0.00
LELBE		1		0.00
LELBEN		1		0.00
LELBN		1		0.00
LELBNH		1		0.00
LELD		1		0.00
LELDO		1		0.00
LELDOZ		1		0.00
LEM		24		0.00
LEMA		4		0.00
LEMAN		2		0.00
LEMANG		1		0.00
LEMANH		1		0.00
LEMAX		1		0.00
LEMAXN		1		0.00
LEMB		1		0.00
LEMC		1		0.00
LEMCH		1		0.00
LEMCHA		1		0.00
LEMD		1		0.00
LEMDA		1		0.00
LEMDAX		1		0.00
LEMG		1		0.00
LEMGE		1		0.00
LEMGEB		1		0.00
LEMN		5		0.00
LEMNE		2		0.00
LEMNEH		1		0.00
LEMNO		2		0.00
LEMNOC		1		0.00
LEMNOG		1		0.00
LEMNR		1		0.00
LEMNRA		1		0.00
LEMO		2		0.00
LEMON		1		0.00
LEMONA		1		0.00
LEMOX		1		0.00
LEMOXA		1		0.00
LEMP		7		0.00
LEMPH		3		0.00
LEMPHA		2		0.00
LEMPHI		1		0.00
LEMPN		2		0.00
LEMPNO		1		0.00
LEMPR		1		0.00
LEMPRI		1		0.00
LEMPV		1		0.00
LEMPVL		1		0.00
LEMV		1		0.00
LEMVA		1		0.00
LEMVAN		1		0.00
LEN		20		0.00
LENC		1		0.00
LENCO		1		0.00
LENCOV		1		0.00
LEND		5		0.00
LENDA		1		0.00
LENDI		1		0.00
LENDIX		1		0.00
LENDO		3		0.00
LENDOV		1		0.00
LENDOX		2		0.00
LENG		6		0.00
LENGE		4		0.00
LENGED		1		0.00
LENGEM		1		0.00
LENGEN		1		0.00
LENGES		1		0.00
LENGH		1		0.00
LENGHO		1		0.00
LENGO		1		0.00
LENGOD		1		0.00
LENO		2		0.00
LENOF		1		0.00
LENOFR		1		0.00
LENP		1		0.00
LENPH		1		0.00
LENPHA		1		0.00
LENS		1		0.00
LENSA		1		0.00
LENSAD		1		0.00
LENSADMAH		1		0.00
LENT		3		0.00
LENTA		1		0.00
LENTAG		1		0.00
LENTO		2		0.00
LENTOT		1		0.00
LENTOX		1		0.00
LEO		39		0.00
LEOC		1		0.00
LEOCH		1		0.00
LEOCHA		1		0.00
LEOD		8		0.00
LEODA		2		0.00
LEODAN		1		0.00
LEODAR		1		0.00
LEODG		1		0.00
LEODGR		1		0.00
LEODN		4		0.00
LEODNA		2		0.00
LEODNO		2		0.00
LEODR		1		0.00
LEODRA		1		0.00
LEOF		1		0.00
LEOFG		1		0.00
LEOFGA		1		0.00
LEOH		4		0.00
LEOHA		4		0.00
LEOHAD		2		0.00
LEOHAH		1		0.00
LEOM		3		0.00
LEOMA		1		0.00
LEOMAD		1		0.00
LEOMP		1		0.00
LEOMPA		1		0.00
LEOMV		1		0.00
LEOMVA		1		0.00
LEON		5		0.00
LEONT		4		0.00
LEONTA		3		0.00
LEONV		1		0.00
LEONVA		1		0.00
LEOP		7		0.00
LEOPA		4		0.00
LEOPAG		1		0.00
LEOPAL		1		0.00
LEOPAR		2		0.00
LEOPL		1		0.00
LEOPLA		1		0.00
LEOPR		1		0.00
LEOPRA		1		0.00
LEOPT		1		0.00
LEOPTA		1		0.00
LEOR		2		0.00
LEORN		1		0.00
LEORNA		1		0.00
LEORT		1		0.00
LEORTA		1		0.00
LEOT		2		0.00
LEOTA		2		0.00
LEOTAN		1		0.00
LEOTAZ		1		0.00
LEOX		4		0.00
LEOXA		3		0.00
LEOXAD		2		0.00
LEOXAR		1		0.00
LEOXP		1		0.00
LEOXPA		1		0.00
LEOZ		2		0.00
LEOZA		1		0.00
LEOZAC		1		0.00
LEP		49		0.00
LEPA		7		0.00
LEPAG		2		0.00
LEPAGA		1		0.00
LEPAGE		1		0.00
LEPAH		1		0.00
LEPAL		2		0.00
LEPALG		1		0.00
LEPALO		1		0.00
LEPAR		1		0.00
LEPARG		1		0.00
LEPAT		1		0.00
LEPATH		1		0.00
LEPH		14		0.00
LEPHA		6		0.00
LEPHAA		1		0.00
LEPHAD		1		0.00
LEPHADA		1		0.00
LEPHAN		4		0.00
LEPHI		1		0.00
LEPHIG		1		0.00
LEPHN		1		0.00
LEPHNO		1		0.00
LEPHO		4		0.00
LEPHOD		1		0.00
LEPHON		1		0.00
LEPHOR		2		0.00
LEPL		3		0.00
LEPLA		1		0.00
LEPLAG		1		0.00
LEPLE		1		0.00
LEPLEG		1		0.00
LEPLO		1		0.00
LEPLON		1		0.00
LEPN		1		0.00
LEPNA		1		0.00
LEPNAZ		1		0.00
LEPNAZV		1		0.00
LEPO		14		0.00
LEPOD		1		0.00
LEPODA		1		0.00
LEPOG		1		0.00
LEPOGO		1		0.00
LEPOL		1		0.00
LEPOLA		1		0.00
LEPON		3		0.00
LEPONA		1		0.00
LEPONO		1		0.00
LEPONT		1		0.00
LEPOR		1		0.00
LEPORG		1		0.00
LEPOT		6		0.00
LEPOTA		1		0.00
LEPOTH		5		0.00
LEPOX		1		0.00
LEPP		2		0.00
LEPPA		2		0.00
LEPPAL		1		0.00
LEPPAZ		1		0.00
LEPR		4		0.00
LEPRA		1		0.00
LEPRO		3		0.00
LEPRON		1		0.00
LEPROX		2		0.00
LEPV		2		0.00
LEPVA		1		0.00
LEPVAN		1		0.00
LEPVL		1		0.00
LEPVLA		1		0.00
LER		14		0.00
LERC		1		0.00
LERCO		1		0.00
LERCOL		1		0.00
LERD		2		0.00
LERDO		1		0.00
LERDON		1		0.00
LERDR		1		0.00
LERDRO		1		0.00
LERG		2		0.00
LERGE		1		0.00
LERGEN		1		0.00
LERGR		1		0.00
LERGRO		1		0.00
LERM		1		0.00
LERMO		1		0.00
LERMON		1		0.00
LERO		1		0.00
LEROX		1		0.00
LEROXO		1		0.00
LERV		5		0.00
LERVA		3		0.00
LERVAN		2		0.00
LERVO		2		0.00
LERVON		2		0.00
LERZ		1		0.00
LERZI		1		0.00
LERZIC		1		0.00
LES		48		0.00
LESA		11		0.00
LESAC		1		0.00
LESACH		1		0.00
LESAD		5		0.00
LESADN		1		0.00
LESADO		3		0.00
LESADR		1		0.00
LESAP		3		0.00
LESAPR		2		0.00
LESAPV		1		0.00
LESAR		1		0.00
LESARC		1		0.00
LESAZ		1		0.00
LESAZO		1		0.00
LESC		5		0.00
LESCH		2		0.00
LESCHA		1		0.00
LESCHE		1		0.00
LESCO		3		0.00
LESCOH		2		0.00
LESD		1		0.00
LESDO		1		0.00
LESDOR		1		0.00
LESG		2		0.00
LESGA		2		0.00
LESGAD		1		0.00
LESGAM		1		0.00
LESGAMPH		1		0.00
LESH		1		0.00
LESHO		1		0.00
LESHOL		1		0.00
LESO		6		0.00
LESOC		1		0.00
LESOCH		1		0.00
LESOD		1		0.00
LESODA		1		0.00
LESOE		1		0.00
LESOG		1		0.00
LESOR		1		0.00
LESORZ		1		0.00
LESOX		1		0.00
LESOXA		1		0.00
LESQ		2		0.00
LESQV		2		0.00
LESQVA		1		0.00
LESQVAL		1		0.00
LESQVI		1		0.00
LESS		2		0.00
LESSA		1		0.00
LESSAD		1		0.00
LESSL		1		0.00
LESSLE		1		0.00
LEST		2		0.00
LESTO		2		0.00
LESTOF		1		0.00
LESV		1		0.00
LESVA		1		0.00
LESVAX		1		0.00
LESZ		1		0.00
LESZV		1		0.00
LESZVR		1		0.00
LET		45		0.00
LETA		2		0.00
LETAT		2		0.00
LETATH		1		0.00
LETB		1		0.00
LETBV		1		0.00
LETBVR		1		0.00
LETH		37		0.00
LETHA		7		0.00
LETHAD		2		0.00
LETHAL		1		0.00
LETHAM		1		0.00
LETHAR		3		0.00
LETHB		1		0.00
LETHBV		1		0.00
LETHC		6		0.00
LETHCO		6		0.00
LETHG		12		0.00
LETHGA		2		0.00
LETHGE		2		0.00
LETHGO		5		0.00
LETHGR		3		0.00
LETHM		1		0.00
LETHMA		1		0.00
LETHN		1		0.00
LETHNA		1		0.00
LETHO		2		0.00
LETHOP		1		0.00
LETHOPH		1		0.00
LETHOR		1		0.00
LETHZ		1		0.00
LETHZI		1		0.00
LETN		1		0.00
LETNA		1		0.00
LETNAR		1		0.00
LETO		2		0.00
LETON		1		0.00
LETONT		1		0.00
LETOT		1		0.00
LETOTH		1		0.00
LEV		10		0.00
LEVA		5		0.00
LEVAN		3		0.00
LEVAND		2		0.00
LEVANDAH		1		0.00
LEVANT		1		0.00
LEVAR		2		0.00
LEVARC		1		0.00
LEVARN		1		0.00
LEVE		1		0.00
LEVER		1		0.00
LEVERI		1		0.00
LEVO		3		0.00
LEVOD		1		0.00
LEVODE		1		0.00
LEVOR		1		0.00
LEVORG		1		0.00
LEX		78		0.01
LEXA		27		0.00
LEXAD		8		0.00
LEXADA		2		0.00
LEXADN		6		0.00
LEXAL		1		0.00
LEXALG		1		0.00
LEXAM		1		0.00
LEXAME		1		0.00
LEXAN		3		0.00
LEXAND		2		0.00
LEXANG		1		0.00
LEXAR		12		0.00
LEXARA		1		0.00
LEXARB		2		0.00
LEXARD		1		0.00
LEXARG		2		0.00
LEXARN		3		0.00
LEXARO		2		0.00
LEXARS		1		0.00
LEXAT		1		0.00
LEXATA		1		0.00
LEXB		1		0.00
LEXBN		1		0.00
LEXBNR		1		0.00
LEXC		1		0.00
LEXCO		1		0.00
LEXCOC		1		0.00
LEXE		1		0.00
LEXEC		1		0.00
LEXECO		1		0.00
LEXI		1		0.00
LEXIC		1		0.00
LEXICO		1		0.00
LEXN		1		0.00
LEXNA		1		0.00
LEXNAR		1		0.00
LEXO		34		0.00
LEXOD		6		0.00
LEXODN		4		0.00
LEXODR		2		0.00
LEXOH		2		0.00
LEXOHN		1		0.00
LEXOI		1		0.00
LEXOL		2		0.00
LEXOLA		1		0.00
LEXON		5		0.00
LEXOND		1		0.00
LEXONP		1		0.00
LEXONT		1		0.00
LEXONZ		1		0.00
LEXOP		1		0.00
LEXOPV		1		0.00
LEXOR		9		0.00
LEXORA		1		0.00
LEXORC		1		0.00
LEXORD		1		0.00
LEXORG		4		0.00
LEXORN		1		0.00
LEXOV		1		0.00
LEXOVA		1		0.00
LEXOX		1		0.00
LEXOXA		1		0.00
LEXP		1		0.00
LEXPA		1		0.00
LEXPAR		1		0.00
LEXR		2		0.00
LEXRA		1		0.00
LEXRAM		1		0.00
LEXRO		1		0.00
LEXROX		1		0.00
LEXT		5		0.00
LEXTA		2		0.00
LEXTAR		2		0.00
LEXTO		2		0.00
LEXTON		1		0.00
LEXTOP		1		0.00
LEXTR		1		0.00
LEXTRA		1		0.00
LEXV		2		0.00
LEXVA		1		0.00
LEXVAR		1		0.00
LEXVL		1		0.00
LEXVLC		1		0.00
LEY		2		0.00
LEYB		1		0.00
LEYBO		1		0.00
LEYBOR		1		0.00
LEYO		1		0.00
LEZ		2		0.00
LEZA		2		0.00
LEZAC		1		0.00
LEZACH		1		0.00
LEZAD		1		0.00
LEZADO		1		0.00
LF		9		0.00
LFA		7		0.00
LFAD		1		0.00
LFADN		1		0.00
LFADNA		1		0.00
LFAL		1		0.00
LFALA		1		0.00
LFALAZ		1		0.00
LFAP		1		0.00
LFAPO		1		0.00
LFAPOL		1		0.00
LFAS		1		0.00
LFASO		1		0.00
LFASOX		1		0.00
LFAT		1		0.00
LFATO		1		0.00
LFATOI		1		0.00
LFAY		1		0.00
LFI		1		0.00
LFID		1		0.00
LFIDA		1		0.00
LFIDAL		1		0.00
LFV		1		0.00
LFVL		1		0.00
LFVLB		1		0.00
LFVLBA		1		0.00
LG		1390		0.13
LGA		294		0.03
LGAA		3		0.00
LGAAG		1		0.00
LGAAGO		1		0.00
LGAAL		1		0.00
LGAALG		1		0.00
LGAAO		1		0.00
LGAB		13		0.00
LGABA		5		0.00
LGABAD		3		0.00
LGABAO		1		0.00
LGABAT		1		0.00
LGABR		7		0.00
LGABRA		5		0.00
LGABRO		2		0.00
LGABV		1		0.00
LGABVR		1		0.00
LGAC		2		0.00
LGACH		2		0.00
LGACHA		1		0.00
LGACHO		1		0.00
LGAD		26		0.00
LGADA		9		0.00
LGADAH		1		0.00
LGADAR		1		0.00
LGADAV		1		0.00
LGADAX		6		0.00
LGADE		3		0.00
LGADED		1		0.00
LGADEF		1		0.00
LGADEO		1		0.00
LGADL		1		0.00
LGADLO		1		0.00
LGADN		7		0.00
LGADNA		1		0.00
LGADNO		6		0.00
LGADO		2		0.00
LGADOL		1		0.00
LGADON		1		0.00
LGADR		1		0.00
LGADRA		1		0.00
LGADS		1		0.00
LGADSN		1		0.00
LGADV		1		0.00
LGADVA		1		0.00
LGAF		2		0.00
LGAFA		1		0.00
LGAFAR		1		0.00
LGAFN		1		0.00
LGAFNA		1		0.00
LGAG		1		0.00
LGAGO		1		0.00
LGAH		12		0.00
LGAHA		1		0.00
LGAHAP		1		0.00
LGAHL		3		0.00
LGAHLE		2		0.00
LGAHLO		1		0.00
LGAHN		1		0.00
LGAHNO		1		0.00
LGAHO		2		0.00
LGAHOZ		1		0.00
LGAHV		2		0.00
LGAHVO		2		0.00
LGAL		30		0.00
LGALA		9		0.00
LGALAH		1		0.00
LGALAR		1		0.00
LGALAX		7		0.00
LGALB		1		0.00
LGALBA		1		0.00
LGALC		1		0.00
LGALCH		1		0.00
LGALE		1		0.00
LGALEP		1		0.00
LGALG		3		0.00
LGALGA		2		0.00
LGALGL		1		0.00
LGALL		2		0.00
LGALLA		1		0.00
LGALLV		1		0.00
LGALM		1		0.00
LGALMA		1		0.00
LGALO		4		0.00
LGALOD		1		0.00
LGALOT		1		0.00
LGALOX		2		0.00
LGALP		1		0.00
LGALPA		1		0.00
LGALZ		6		0.00
LGALZA		2		0.00
LGALZE		2		0.00
LGALZI		2		0.00
LGAM		12		0.00
LGAMA		6		0.00
LGAMAH		3		0.00
LGAMAL		1		0.00
LGAMAN		1		0.00
LGAMAX		1		0.00
LGAME		1		0.00
LGAMEO		1		0.00
LGAMN		1		0.00
LGAMNA		1		0.00
LGAMV		2		0.00
LGAMVA		2		0.00
LGAMZ		1		0.00
LGAMZE		1		0.00
LGAN		32		0.00
LGANA		7		0.00
LGANAC		1		0.00
LGANAG		1		0.00
LGANAH		3		0.00
LGANAX		2		0.00
LGANC		1		0.00
LGANCH		1		0.00
LGAND		1		0.00
LGANDR		1		0.00
LGANG		3		0.00
LGANGA		1		0.00
LGANGE		1		0.00
LGANGR		1		0.00
LGANN		2		0.00
LGANNA		1		0.00
LGANNO		1		0.00
LGANO		5		0.00
LGANOD		1		0.00
LGANOH		1		0.00
LGANOP		1		0.00
LGANOX		2		0.00
LGANP		2		0.00
LGANPH		2		0.00
LGANR		1		0.00
LGANRA		1		0.00
LGANT		2		0.00
LGANTA		2		0.00
LGANV		1		0.00
LGANVA		1		0.00
LGANZ		6		0.00
LGANZA		6		0.00
LGAP		10		0.00
LGAPA		4		0.00
LGAPAR		1		0.00
LGAPAT		1		0.00
LGAPAV		1		0.00
LGAPAX		1		0.00
LGAPH		6		0.00
LGAPHA		5		0.00
LGAPHN		1		0.00
LGAR		21		0.00
LGARA		2		0.00
LGARAX		1		0.00
LGARB		3		0.00
LGARBD		1		0.00
LGARBV		2		0.00
LGARC		1		0.00
LGARCH		1		0.00
LGARD		1		0.00
LGARG		2		0.00
LGARGA		1		0.00
LGARGZ		1		0.00
LGARM		1		0.00
LGARMO		1		0.00
LGARN		2		0.00
LGARNA		1		0.00
LGARNS		1		0.00
LGARO		2		0.00
LGARON		1		0.00
LGAROZ		1		0.00
LGARP		2		0.00
LGARPA		2		0.00
LGARV		1		0.00
LGARVA		1		0.00
LGARZ		3		0.00
LGARZA		2		0.00
LGARZI		1		0.00
LGAS		4		0.00
LGASN		1		0.00
LGASNO		1		0.00
LGASO		1		0.00
LGASOR		1		0.00
LGAST		2		0.00
LGASTA		1		0.00
LGASTO		1		0.00
LGAT		63		0.01
LGATA		1		0.00
LGATAX		1		0.00
LGATE		1		0.00
LGATET		1		0.00
LGATH		49		0.00
LGATHA		26		0.00
LGATHC		1		0.00
LGATHE		2		0.00
LGATHG		1		0.00
LGATHL		2		0.00
LGATHN		8		0.00
LGATHO		4		0.00
LGATHV		1		0.00
LGATHY		1		0.00
LGATHZ		2		0.00
LGATN		1		0.00
LGATNA		1		0.00
LGATO		1		0.00
LGATOR		1		0.00
LGATP		1		0.00
LGATPV		1		0.00
LGAV		3		0.00
LGAVA		1		0.00
LGAVAX		1		0.00
LGAVO		1		0.00
LGAVOR		1		0.00
LGAVX		1		0.00
LGAVXA		1		0.00
LGAX		6		0.00
LGAXA		2		0.00
LGAXAC		1		0.00
LGAXAR		1		0.00
LGAXM		1		0.00
LGAXMA		1		0.00
LGAXN		1		0.00
LGAXNO		1		0.00
LGAXZ		1		0.00
LGAXZI		1		0.00
LGAZ		5		0.00
LGAZA		5		0.00
LGAZAC		2		0.00
LGAZAD		2		0.00
LGAZAG		1		0.00
LGC		1		0.00
LGCH		1		0.00
LGCHI		1		0.00
LGCHID		1		0.00
LGD		3		0.00
LGDE		1		0.00
LGDEX		1		0.00
LGDEXT		1		0.00
LGDR		1		0.00
LGDRO		1		0.00
LGDROT		1		0.00
LGDV		1		0.00
LGDVR		1		0.00
LGDVRA		1		0.00
LGE		747		0.07
LGEA		5		0.00
LGEAD		2		0.00
LGEADE		1		0.00
LGEADN		1		0.00
LGEAR		1		0.00
LGEARB		1		0.00
LGEAX		2		0.00
LGEAXA		2		0.00
LGEB		20		0.00
LGEBA		4		0.00
LGEBAD		2		0.00
LGEBAL		1		0.00
LGEBAR		1		0.00
LGEBB		1		0.00
LGEBBO		1		0.00
LGEBE		1		0.00
LGEBEO		1		0.00
LGEBL		1		0.00
LGEBLO		1		0.00
LGEBO		1		0.00
LGEBOR		1		0.00
LGEBR		11		0.00
LGEBRA		11		0.00
LGEBT		1		0.00
LGEBTH		1		0.00
LGED		183		0.02
LGEDA		20		0.00
LGEDAC		1		0.00
LGEDAD		4		0.00
LGEDAH		1		0.00
LGEDAP		2		0.00
LGEDAQ		1		0.00
LGEDAR		1		0.00
LGEDAT		2		0.00
LGEDAX		7		0.00
LGEDC		3		0.00
LGEDCA		1		0.00
LGEDCH		1		0.00
LGEDCO		1		0.00
LGEDD		2		0.00
LGEDDO		1		0.00
LGEDDR		1		0.00
LGEDE		2		0.00
LGEDED		2		0.00
LGEDG		1		0.00
LGEDGE		1		0.00
LGEDH		3		0.00
LGEDHA		2		0.00
LGEDHO		1		0.00
LGEDL		1		0.00
LGEDLO		1		0.00
LGEDM		2		0.00
LGEDMA		1		0.00
LGEDME		1		0.00
LGEDN		93		0.01
LGEDNA		25		0.00
LGEDNO		68		0.01
LGEDO		24		0.00
LGEDOC		1		0.00
LGEDOH		4		0.00
LGEDOL		1		0.00
LGEDON		1		0.00
LGEDOT		3		0.00
LGEDOX		11		0.00
LGEDP		1		0.00
LGEDPH		1		0.00
LGEDR		9		0.00
LGEDRA		4		0.00
LGEDRO		5		0.00
LGEDT		1		0.00
LGEDTH		1		0.00
LGEDV		13		0.00
LGEDVA		10		0.00
LGEDVO		2		0.00
LGEDVR		1		0.00
LGEF		7		0.00
LGEFA		3		0.00
LGEFAB		1		0.00
LGEFAD		1		0.00
LGEFAP		1		0.00
LGEFD		1		0.00
LGEFDO		1		0.00
LGEFF		1		0.00
LGEFFA		1		0.00
LGEFO		2		0.00
LGEFOL		1		0.00
LGEG		2		0.00
LGEGR		2		0.00
LGEGRA		1		0.00
LGEGRO		1		0.00
LGEH		23		0.00
LGEHA		3		0.00
LGEHAL		1		0.00
LGEHAZ		1		0.00
LGEHC		1		0.00
LGEHCR		1		0.00
LGEHD		1		0.00
LGEHDO		1		0.00
LGEHG		1		0.00
LGEHGA		1		0.00
LGEHL		1		0.00
LGEHLA		1		0.00
LGEHN		2		0.00
LGEHND		1		0.00
LGEHNO		1		0.00
LGEHO		7		0.00
LGEHOD		2		0.00
LGEHON		1		0.00
LGEHOR		2		0.00
LGEHOT		1		0.00
LGEHOX		1		0.00
LGEHV		5		0.00
LGEHVA		1		0.00
LGEHVD		3		0.00
LGEHVT		1		0.00
LGEL		9		0.00
LGELA		2		0.00
LGELAD		1		0.00
LGELAH		1		0.00
LGELB		1		0.00
LGELBR		1		0.00
LGELD		2		0.00
LGELDO		1		0.00
LGELE		1		0.00
LGELED		1		0.00
LGELN		1		0.00
LGELNO		1		0.00
LGELS		1		0.00
LGELSA		1		0.00
LGELV		1		0.00
LGELVA		1		0.00
LGEM		53		0.00
LGEMA		4		0.00
LGEMAP		1		0.00
LGEMAX		2		0.00
LGEME		4		0.00
LGEMEC		1		0.00
LGEMEN		2		0.00
LGEMEO		1		0.00
LGEMM		1		0.00
LGEMMA		1		0.00
LGEMN		18		0.00
LGEMNA		17		0.00
LGEMNE		1		0.00
LGEMP		19		0.00
LGEMPA		1		0.00
LGEMPH		10		0.00
LGEMPL		3		0.00
LGEMPN		2		0.00
LGEMPO		1		0.00
LGEMPR		1		0.00
LGEMPZ		1		0.00
LGEMS		1		0.00
LGEMSA		1		0.00
LGEMV		3		0.00
LGEMVA		3		0.00
LGEMZ		1		0.00
LGEMZA		1		0.00
LGEN		75		0.01
LGENA		10		0.00
LGENAD		2		0.00
LGENAG		1		0.00
LGENAL		3		0.00
LGENAP		1		0.00
LGENAX		3		0.00
LGEND		9		0.00
LGENDA		6		0.00
LGENDO		3		0.00
LGENL		1		0.00
LGENLV		1		0.00
LGENN		1		0.00
LGENNA		1		0.00
LGENO		15		0.00
LGENOC		1		0.00
LGENOD		1		0.00
LGENOL		2		0.00
LGENOP		1		0.00
LGENOT		1		0.00
LGENOX		8		0.00
LGENOY		1		0.00
LGENP		6		0.00
LGENPH		5		0.00
LGENR		1		0.00
LGENRV		1		0.00
LGENS		5		0.00
LGENSA		1		0.00
LGENSO		3		0.00
LGENSP		1		0.00
LGENT		12		0.00
LGENTA		8		0.00
LGENTO		4		0.00
LGENV		8		0.00
LGENVA		7		0.00
LGENVO		1		0.00
LGENZ		6		0.00
LGENZA		6		0.00
LGEO		14		0.00
LGEOD		3		0.00
LGEODA		3		0.00
LGEON		2		0.00
LGEOND		1		0.00
LGEONZ		1		0.00
LGEOP		1		0.00
LGEOPH		1		0.00
LGEOR		2		0.00
LGEORD		1		0.00
LGEORG		1		0.00
LGEOT		2		0.00
LGEOTH		2		0.00
LGEOV		1		0.00
LGEOVA		1		0.00
LGEOX		1		0.00
LGEOXA		1		0.00
LGEP		37		0.00
LGEPA		4		0.00
LGEPAH		2		0.00
LGEPAR		1		0.00
LGEPG		1		0.00
LGEPGA		1		0.00
LGEPH		25		0.00
LGEPHA		17		0.00
LGEPHE		1		0.00
LGEPHN		3		0.00
LGEPHR		1		0.00
LGEPO		2		0.00
LGEPOR		2		0.00
LGEPP		1		0.00
LGEPPH		1		0.00
LGEPR		3		0.00
LGEPRA		1		0.00
LGEPRO		2		0.00
LGEPT		1		0.00
LGEPTH		1		0.00
LGER		5		0.00
LGERG		1		0.00
LGERGE		1		0.00
LGERH		1		0.00
LGERHA		1		0.00
LGERO		2		0.00
LGEROA		1		0.00
LGEROH		1		0.00
LGERS		1		0.00
LGES		10		0.00
LGESA		2		0.00
LGESAS		2		0.00
LGESC		1		0.00
LGESCH		1		0.00
LGESO		1		0.00
LGESOR		1		0.00
LGESR		1		0.00
LGESRA		1		0.00
LGESS		1		0.00
LGESSA		1		0.00
LGEST		2		0.00
LGESTA		2		0.00
LGESV		2		0.00
LGESVA		2		0.00
LGET		274		0.03
LGETA		6		0.00
LGETAM		1		0.00
LGETAN		1		0.00
LGETAX		3		0.00
LGETH		250		0.02
LGETHA		156		0.01
LGETHG		5		0.00
LGETHL		4		0.00
LGETHN		42		0.00
LGETHO		17		0.00
LGETHR		5		0.00
LGETHV		4		0.00
LGETHY		2		0.00
LGETHZ		7		0.00
LGETO		1		0.00
LGETOT		1		0.00
LGEX		4		0.00
LGEXA		1		0.00
LGEXAX		1		0.00
LGEXG		1		0.00
LGEXGE		1		0.00
